,Country_name,Regional_indicator,Ladder_score,Social_support,Healthy_life_expectancy,Perceptions_of_corruption,year
1636,Swaziland,Unspecified,4.396,0.759,51.27,0.7240000000000001,2019
1650,Sweden,Unspecified,7.398,0.934,72.7,0.25,2019
1651,Sweden,Unspecified,7.314,0.9359999999999999,72.8,0.203,2020
1660,Switzerland,Unspecified,7.694,0.9490000000000001,74.4,0.294,2019
1661,Switzerland,Unspecified,7.507999999999999,0.946,74.7,0.28,2020
1680,Taiwan Province of China,Unspecified,6.537000000000001,0.893,,0.718,2019
1681,Taiwan Province of China,Unspecified,6.751,0.9009999999999999,,0.711,2020
1695,Tajikistan,Unspecified,5.4639999999999995,0.88,64.4,0.49,2019
1696,Tajikistan,Unspecified,5.372999999999999,0.79,64.7,0.55,2020
1710,Tanzania,Unspecified,3.64,0.687,58.0,0.589,2019
1711,Tanzania,Unspecified,3.786,0.74,58.5,0.521,2020
1725,Thailand,Unspecified,6.022,0.903,67.4,0.877,2019
1726,Thailand,Unspecified,5.885,0.867,67.6,0.9179999999999999,2020
1735,Togo,Unspecified,4.178999999999999,0.539,55.1,0.737,2019
1751,Tunisia,Unspecified,4.315,0.61,67.2,0.889,2019
1752,Tunisia,Unspecified,4.731,0.7190000000000001,67.5,0.877,2020
1766,Turkey,Unspecified,4.872,0.792,67.2,0.76,2019
1767,Turkey,Unspecified,4.862,0.857,67.6,0.774,2020
1777,Turkmenistan,Unspecified,5.474,0.982,62.6,,2019
1791,Uganda,Unspecified,4.948,0.805,56.1,0.826,2019
1792,Uganda,Unspecified,4.641,0.8,56.5,0.878,2020
1806,Ukraine,Unspecified,4.702,0.883,64.9,0.885,2019
1807,Ukraine,Unspecified,5.27,0.885,65.2,0.946,2020
1819,United Arab Emirates,Unspecified,6.711,0.862,67.3,,2019
1820,United Arab Emirates,Unspecified,6.457999999999999,0.8270000000000001,67.5,,2020
1834,United Kingdom,Unspecified,7.157,0.943,72.5,0.485,2019
1835,United Kingdom,Unspecified,6.797999999999999,0.929,72.7,0.49,2020
1849,United States,Unspecified,6.944,0.917,68.2,0.7070000000000001,2019
1850,United States,Unspecified,7.028,0.937,68.1,0.6779999999999999,2020
1864,Uruguay,Unspecified,6.6,0.9329999999999999,69.1,0.599,2019
1865,Uruguay,Unspecified,6.31,0.9209999999999999,69.2,0.491,2020
1878,Uzbekistan,Unspecified,6.154,0.915,65.4,0.511,2019
1892,Venezuela,Unspecified,5.081,0.888,66.7,0.8390000000000001,2019
1893,Venezuela,Unspecified,4.574,0.805,66.9,0.8109999999999999,2020
1907,Vietnam,Unspecified,5.4670000000000005,0.848,68.1,0.7879999999999999,2019
1919,Yemen,Unspecified,4.197,0.87,57.5,0.7979999999999999,2019
1932,Zambia,Unspecified,3.307,0.638,55.8,0.8320000000000001,2019
1933,Zambia,Unspecified,4.838,0.767,56.3,0.81,2020
1947,Zimbabwe,Unspecified,2.694,0.759,56.2,0.831,2019
1948,Zimbabwe,Unspecified,3.16,0.7170000000000001,56.8,0.789,2020
